W,kW,WTokW,"UnitConversion.Scale(val, 0.001)"
Wh,kWh,WhTokWh,"UnitConversion.ScaleEnergy(val,0.001)"
cA,A,cAToA,"UnitConversion.Scale(val, 0.01)"
dkV,kV,dkVTokV,"UnitConversion.Scale(val, 0.1)"
dkV,V,dkVToV,"UnitConversion.Scale(val, 100.0)"
ckV,kV,ckVTokV,"UnitConversion.Scale(val,0.01)"
cHz,Hz,cHzToHz,"UnitConversion.Scale(val, 0.01)"
100W,kW,100WTokW,"UnitConversion.Scale(val, 0.1)"
100VA,kVA,100VATokVA,"UnitConversion.Scale(val, 0.1)"
100pu,pu,100puTopu,"UnitConversion.Scale(val, 0.01)"
1000pu,pu,1000puTopu,"UnitConversion.Scale(val, 0.001)"
100Wh,kWh,100WhTokWh,"UnitConversion.ScaleEnergy(val, 0.1)"
100VAh,kVAh,100VAhTokVAh,"UnitConversion.ScaleEnergy(val, 0.1)"
VAr,kVAr,VArTokVAr,"UnitConversion.Scale(val,0.001)"
Var,kVAr,VarTokVAr,"UnitConversion.Scale(val,0.001)"
Var,kVar,VarTokVar,"UnitConversion.Scale(val,0.001)"
VA,kVA,VATokVA,"UnitConversion.ScaleEnergy(val,0.001)"
dV,V,dVToV,"UnitConversion.Scale(val, 0.1)"
dA,A,dAToA,"UnitConversion.Scale(val, 0.1)"
mHz,Hz,mHzToHz,"UnitConversion.ScaleEnergy(val,0.001)"
SolectriaV,V,SolectriaVToV,"UnitConversion.Scale(val, 0.1953125)"
SolectriaW,kW,SolectriaWTokW,"UnitConversion.Scale(val, -0.01953125)"
SolectriaHz,Hz,SolectriaHzToHz,"UnitConversion.Scale(val, 0.00610352)"
SolectriaVAr,Var,SolectriaVArToVar,"UnitConversion.Scale(val, -0.01953125)"
cPct,Pct,cPctToPct,"UnitConversion.Scale(val, 0.01)"
mPctPerSec,PctPerSec,mPctPerSecToPctPerSec,"UnitConversion.Scale(val,0.001)"
SolectriaPF,pu,SolectriaPFTopu,"UnitConversion.Scale(val, 0.00390625)"
Pct,kW,PctTokW,"UnitConversion.PctToUnits(val, nameplate)"
NegPct,kW,NegPctTokW,"UnitConversion.PctToUnits(-1*val, nameplate)"
cPct,kW,cPctTokW,"UnitConversion.PctToUnits(0.01*val,nameplate)"
cPct,kVAr,cPctTokVAr,"UnitConversion.PctToUnits(0.01*val,nameplate)"
kW,Pct,kWToPct,"UnitConversion.UnitsToPct(val, nameplate)"
kW,NegPct,kWToNegPct,"UnitConversion.UnitsToPct(-1*val, nameplate)"
kW,cPct,kWTocPct,"UnitConversion.UnitsToPct(100*val, nameplate)"
kVAr,cPct,kVArTocPct,"UnitConversion.UnitsToPct(100*val, nameplate)"
PctPerSec,mPctPerSec,PerPerSecTomPctPerSec,"UnitConversion.Scale(val,1000.0)"
kW,W,kWToW,"UnitConversion.Scale(val, 1000.0)"
kWh,Wh,kWhToWh,"UnitConversion.ScaleEnergy(val,1000.0)"
A,cA,ATocA,"UnitConversion.Scale(val, 100.0)"
V,dkV,VTodkV,"UnitConversion.Scale(val, 0.01)"
Hz,cHz,HzTocHz,"UnitConversion.Scale(val, 100.0)"
kW,100W,kWTo100W,"UnitConversion.Scale(val, 10.0)"
kVA,100VA,kVATo100VA,"UnitConversion.Scale(val, 10.0)"
pu,1000pu,puTo1000pu,"UnitConversion.Scale(val, 1000.0)"
